x y yRK4 yRK5 h
47.7 0.576976 0.576976 0.576967 0.0151055
47.8 0.572889 0.572889 0.572879 0.0151076
47.9 0.568818 0.568818 0.568809 0.0151097
48 0.564766 0.564766 0.564757 0.0151118
48.1 0.560731 0.560731 0.560722 0.015114
48.2 0.556715 0.556715 0.556705 0.0151162
48.3 0.552715 0.552715 0.552706 0.0151183
48.4 0.548734 0.548734 0.548724 0.0151205
48.5 0.54477 0.54477 0.54476 0.0151228
48.6 0.540823 0.540823 0.540814 0.015125
48.7 0.536894 0.536894 0.536885 0.0151272
48.8 0.532983 0.532983 0.532974 0.0151295
48.9 0.52909 0.52909 0.52908 0.0151318
49 0.525214 0.525214 0.525204 0.0151341
49.1 0.521355 0.521355 0.521346 0.0151364
49.2 0.517514 0.517514 0.517505 0.0151387
49.3 0.513691 0.513691 0.513682 0.0151411
49.4 0.509885 0.509885 0.509876 0.0151434
49.5 0.506097 0.506097 0.506087 0.0151458
49.6 0.502326 0.502326 0.502316 0.0151482
49.7 0.498572 0.498572 0.498563 0.0151507
49.8 0.494836 0.494836 0.494827 0.0151531
49.9 0.491118 0.491118 0.491108 0.0151556
50 0.487417 0.487417 0.487407 0.015158
50.1 0.483733 0.483733 0.483724 0.0151605
50.2 0.480067 0.480067 0.480057 0.0151631
50.3 0.476418 0.476418 0.476408 0.0151656
50.4 0.472786 0.472786 0.472776 0.0151682
50.5 0.469172 0.469172 0.469162 0.0151707
50.6 0.465575 0.465575 0.465565 0.0151733
50.7 0.461995 0.461995 0.461985 0.0151759
50.8 0.458432 0.458432 0.458423 0.0151786
50.9 0.454887 0.454887 0.454878 0.0151812
51 0.451359 0.451359 0.45135 0.0151839
51.1 0.447849 0.447849 0.447839 0.0151866
51.2 0.444355 0.444355 0.444346 0.0151894
51.3 0.440879 0.440879 0.44087 0.0151921
51.4 0.43742 0.43742 0.437411 0.0151949
51.5 0.433978 0.433978 0.433969 0.0151977
51.6 0.430553 0.430553 0.430544 0.0152005
51.7 0.427146 0.427146 0.427136 0.0152033
51.8 0.423755 0.423755 0.423746 0.0152062
51.9 0.420382 0.420382 0.420372 0.015209
52 0.417025 0.417025 0.417016 0.015212
52.1 0.413686 0.413686 0.413676 0.0152149
52.2 0.410363 0.410363 0.410354 0.0152178
52.3 0.407058 0.407058 0.407049 0.0152208
52.4 0.40377 0.40377 0.403761 0.0152238
52.5 0.400499 0.400499 0.400489 0.0152269
52.6 0.397244 0.397244 0.397235 0.0152299
52.7 0.394007 0.394007 0.393998 0.015233
52.8 0.390786 0.390786 0.390777 0.0152361
52.9 0.387583 0.387583 0.387573 0.0152392
53 0.384396 0.384396 0.384387 0.0152424
53.1 0.381226 0.381226 0.381217 0.0152456
53.2 0.378073 0.378073 0.378064 0.0152488
53.3 0.374937 0.374937 0.374928 0.015252
