x y y_analytic yRK4 yRK5 h
0.148 -0.0539064 -0.0343372 -0.0539064 -0.0539063 1.55937e-06
0.149 -0.0546337 -0.0348017 -0.0546337 -0.0546336 1.55943e-06
0.15 -0.0553658 -0.0352694 -0.0553658 -0.0553657 1.55949e-06
0.151 -0.0561028 -0.0357401 -0.0561028 -0.0561027 1.55956e-06
0.152 -0.0568446 -0.0362139 -0.0568446 -0.0568445 1.55962e-06
0.153 -0.0575913 -0.0366909 -0.0575913 -0.0575912 1.55968e-06
0.154 -0.0583428 -0.0371709 -0.0583428 -0.0583427 1.55975e-06
0.155 -0.0590992 -0.037654 -0.0590992 -0.0590991 1.55981e-06
0.156 -0.0598605 -0.0381402 -0.0598605 -0.0598604 1.55988e-06
0.157 -0.0606266 -0.0386295 -0.0606266 -0.0606265 1.55995e-06
0.158 -0.0613975 -0.0391219 -0.0613975 -0.0613974 1.56001e-06
0.159 -0.0621733 -0.0396173 -0.0621733 -0.0621733 1.56008e-06
0.16 -0.062954 -0.0401159 -0.062954 -0.0629539 1.56015e-06
0.161 -0.0637395 -0.0406176 -0.0637395 -0.0637394 1.56022e-06
0.162 -0.0645299 -0.0411223 -0.0645299 -0.0645298 1.56029e-06
0.163 -0.0653251 -0.0416301 -0.0653251 -0.065325 1.56036e-06
0.164 -0.0661252 -0.042141 -0.0661252 -0.0661251 1.56043e-06
0.165 -0.0669301 -0.042655 -0.0669301 -0.06693 1.56051e-06
0.166 -0.0677399 -0.0431721 -0.0677399 -0.0677398 1.56058e-06
0.167 -0.0685545 -0.0436923 -0.0685545 -0.0685544 1.56065e-06
0.168 -0.069374 -0.0442156 -0.069374 -0.0693739 1.56073e-06
0.169 -0.0701983 -0.0447419 -0.0701983 -0.0701982 1.56081e-06
0.17 -0.0710275 -0.0452713 -0.0710275 -0.0710274 1.56088e-06
0.171 -0.0718615 -0.0458038 -0.0718615 -0.0718614 1.56096e-06
0.172 -0.0727003 -0.0463394 -0.0727003 -0.0727003 1.56104e-06
0.173 -0.0735441 -0.046878 -0.0735441 -0.073544 1.56112e-06
0.174 -0.0743926 -0.0474198 -0.0743926 -0.0743925 1.5612e-06
0.175 -0.075246 -0.0479646 -0.075246 -0.0752459 1.56128e-06
0.176 -0.0761043 -0.0485125 -0.0761043 -0.0761042 1.56136e-06
0.177 -0.0769674 -0.0490634 -0.0769674 -0.0769673 1.56145e-06
