x y yRK4 yRK5 h
7.3 0.0923099 0.0923099 0.0923099 0.02
7.4 0.0935831 0.0935831 0.0935831 0.02
7.5 0.0948563 0.0948563 0.0948563 0.02
7.6 0.0961296 0.0961296 0.0961296 0.02
7.7 0.0974028 0.0974028 0.0974028 0.02
7.8 0.0986761 0.0986761 0.0986761 0.02
7.9 0.0999493 0.0999493 0.0999493 0.02
8 0.101223 0.101223 0.101223 0.02
8.1 0.0997785 0.0997785 0.0997671 0.02
8.2 0.0983541 0.0983541 0.0983427 0.02
8.3 0.0969492 0.0969492 0.0969379 0.02
8.4 0.0955637 0.0955637 0.0955525 0.02
8.5 0.0941975 0.0941975 0.0941863 0.02
8.6 0.0928503 0.0928503 0.0928392 0.02
8.7 0.0915221 0.0915221 0.0915111 0.02
8.8 0.0902127 0.0902127 0.0902018 0.02
8.9 0.088922 0.088922 0.0889111 0.02
9 0.0876498 0.0876498 0.087639 0.02
9.1 0.086396 0.086396 0.0863853 0.02
9.2 0.0851604 0.0851604 0.0851497 0.02
9.3 0.0839428 0.0839428 0.0839323 0.02
9.4 0.0827432 0.0827432 0.0827327 0.02
9.5 0.0815614 0.0815614 0.081551 0.02
9.6 0.0803972 0.0803972 0.0803868 0.02
9.7 0.0792504 0.0792504 0.0792402 0.02
9.8 0.078121 0.078121 0.0781108 0.02
9.9 0.0770088 0.0770088 0.0769986 0.02
10 0.0759135 0.0759135 0.0759035 0.02
10.1 0.0748351 0.0748351 0.0748251 0.02
10.2 0.0737735 0.0737735 0.0737635 0.02
10.3 0.0727283 0.0727283 0.0727185 0.02
10.4 0.0716996 0.0716996 0.0716898 0.02
10.5 0.0706871 0.0706871 0.0706774 0.02
10.6 0.0696906 0.0696906 0.069681 0.02
10.7 0.0687101 0.0687101 0.0687006 0.02
10.8 0.0677454 0.0677454 0.0677359 0.02
10.9 0.0667962 0.0667962 0.0667868 0.02
11 0.0658625 0.0658625 0.0658532 0.02
11.1 0.0649441 0.0649441 0.0649349 0.02
11.2 0.0640408 0.0640408 0.0640317 0.02
11.3 0.0631525 0.0631525 0.0631435 0.02
11.4 0.062279 0.062279 0.06227 0.02
11.5 0.0614202 0.0614202 0.0614113 0.02
11.6 0.0605758 0.0605758 0.060567 0.02
11.7 0.0597458 0.0597458 0.059737 0.02
11.8 0.0589299 0.0589299 0.0589212 0.02
11.9 0.058128 0.058128 0.0581194 0.02
12 0.05734 0.05734 0.0573315 0.02
12.1 0.0565656 0.0565656 0.0565572 0.02
12.2 0.0558048 0.0558048 0.0557965 0.02
12.3 0.0550574 0.0550574 0.0550491 0.02
12.4 0.0543231 0.0543231 0.054315 0.02
12.5 0.0536019 0.0536019 0.0535938 0.02
12.6 0.0528936 0.0528936 0.0528856 0.02
12.7 0.052198 0.052198 0.0521901 0.02
12.8 0.0515149 0.0515149 0.0515071 0.02
12.9 0.0508443 0.0508443 0.0508365 0.02
13 0.0501859 0.0501859 0.0501782 0.02
13.1 0.0495396 0.0495396 0.049532 0.02
13.2 0.0489052 0.0489052 0.0488977 0.02
13.3 0.0482825 0.0482825 0.0482751 0.02
13.4 0.0476715 0.0476715 0.0476642 0.02
13.5 0.0470719 0.0470719 0.0470647 0.02
